index,min_length,max_length
0,7,22
1,8,20
2,10,16
3,9,22
4,9,18
5,9,22
6,7,19
7,11,23
8,8,16
9,5,17
10,4,17
11,3,25
12,10,19
13,6,21
14,9,23
15,9,18
16,8,17
17,7,20
18,10,19
19,10,16
20,8,13
21,6,19
22,10,17
23,6,22
24,5,21
25,11,21
26,7,21
27,8,22
28,11,21
29,5,22
30,9,15
31,5,12
32,4,22
33,8,19
34,7,18
35,9,19
36,10,16
37,7,18
38,11,22
39,18,20
40,12,16
41,11,19
42,6,22
43,9,20
44,8,20
45,11,17
46,7,19
47,9,16
48,11,20
49,8,22
50,8,21
51,3,19
52,8,18
53,7,20
54,3,14
55,7,21
56,4,24
57,11,16
58,7,19
59,11,18
60,10,20
61,10,18
62,10,20
63,4,17
64,11,19
65,9,18
66,3,12
67,7,20
68,14,21
69,5,21
70,3,9
71,11,20
72,4,10
73,5,18
74,5,21
75,8,20
76,12,16
77,12,16
78,11,15
79,7,20
80,6,21
81,5,16
82,5,18
83,8,16
84,11,24
85,8,18
86,7,21
87,8,21
88,8,21
89,8,21
90,5,20
91,11,19
92,16,18
93,7,19
94,11,14
95,6,21
96,4,20
97,15,18
98,9,18
99,4,13
100,10,19
101,12,19
102,7,21
103,5,12
104,9,20
105,10,20
106,6,21
107,5,18
108,8,20
109,8,16
110,9,20
111,11,17
112,6,22
113,9,15
114,15,17
115,7,19
116,12,21
117,11,20
118,12,22
119,4,14
120,3,17
121,13,20
122,9,22
123,9,22
124,8,22
125,10,19
126,5,24
127,7,23
128,8,19
129,14,22
130,6,14
131,11,18
132,6,22
133,6,21
134,9,14
135,7,16
136,7,19
137,12,16
138,11,19
139,5,14
140,6,24
141,10,20
142,9,22
143,11,20
144,9,19
145,8,15
146,12,19
147,8,18
148,6,21
149,3,21
150,4,23
151,9,14
152,4,24
153,3,16
154,7,20
155,9,18
156,15,20
157,7,22
158,13,21
159,6,15
160,4,14
161,12,19
162,9,19
163,7,16
164,8,16
165,3,13
166,3,8
167,10,21
168,7,19
169,11,17
170,4,24
171,9,20
172,4,22
173,11,17
174,9,17
175,8,15
176,9,17
177,6,20
178,11,17
179,11,20
180,10,16
181,10,14
182,4,14
183,9,16
184,6,16
185,9,17
186,7,21
187,8,19
188,9,14
189,9,17
190,6,17
191,4,21
192,9,16
193,3,20
194,7,21
195,13,19
196,7,19
197,5,20
198,11,17
199,3,9
200,10,21
201,4,17
202,12,21
203,7,16
204,7,19
205,4,23
206,11,18
207,8,23
208,7,22
209,10,16
210,10,14
211,9,19
212,4,23
213,7,23
214,11,21
215,4,24
216,9,13
217,8,18
218,3,9
219,12,21
220,8,14
221,10,17
222,6,23
223,8,17
224,11,14
225,8,19
226,7,14
227,8,20
228,12,16
229,8,21
230,10,19
231,7,16
232,9,14
233,5,22
234,4,23
235,5,23
236,14,16
237,8,19
238,8,18
239,11,18
240,11,21
241,6,19
242,7,19
243,3,22
244,10,24
245,9,21
246,9,21
247,3,25
248,6,12
249,8,19
250,7,24
251,7,17
252,12,25
253,10,15
254,8,15
255,7,20
256,8,17
257,10,15
258,8,20
259,3,20
260,6,21
261,3,13
262,9,18
263,11,21
264,13,18
265,5,20
266,14,23
267,10,19
268,7,19
269,9,19
270,11,22
271,6,21
272,8,19
273,6,17
274,7,16
275,10,18
276,9,17
277,7,22
278,6,23
279,7,18
280,6,21
281,3,17
282,12,24
283,12,17
284,8,19
285,12,16
286,3,25
287,5,20
288,9,18
289,5,23
290,9,18
291,8,19
292,11,22
293,8,15
294,10,18
295,11,18
296,12,17
297,3,20
298,10,21
299,7,20
300,10,18
301,3,7
302,7,21
303,11,18
304,9,16
305,8,20
306,10,21
307,4,23
308,5,21
309,11,20
310,3,15
311,10,20
312,8,17
313,10,18
314,12,21
315,7,17
316,4,13
317,6,16
318,12,18
319,12,19
320,3,20
321,3,10
322,5,20
323,6,21
324,7,21
325,10,19
326,6,23
327,5,18
328,11,20
329,5,22
330,11,19
331,11,14
332,12,22
333,8,20
334,11,23
335,11,18
336,10,19
337,8,22
338,3,18
339,11,19
340,12,22
341,10,20
342,6,18
343,6,19
344,10,16
345,8,20
346,8,18
347,7,18
348,11,18
349,6,15
350,3,8
351,5,15
352,9,15
353,10,13
354,10,19
355,7,21
356,7,22
357,5,9
358,10,19
359,11,16
360,5,17
361,5,23
362,11,21
363,13,16
364,11,20
365,8,18
366,9,24
367,11,20
368,6,24
369,4,24
370,5,23
371,10,24
372,9,16
373,5,22
374,3,23
375,12,23
376,8,19
377,7,21
378,11,20
379,7,17
380,7,18
381,13,18
382,4,14
383,7,19
384,6,26
385,11,19
386,3,19
387,10,19
388,12,22
389,12,19
390,12,15
391,11,18
392,11,17
393,6,17
394,6,18
395,8,19
396,11,17
397,9,19
398,4,24
399,9,19
400,11,18
401,7,19
402,7,19
403,13,24
404,5,24
405,9,20
406,3,20
407,10,18
408,8,17
409,7,21
410,4,22
411,10,17
412,3,20
413,11,16
414,4,22
415,8,16
416,9,21
417,10,16
418,8,16
419,8,19
420,7,18
421,7,22
422,7,19
423,11,19
424,12,18
425,3,21
426,8,21
427,13,19
428,9,17
429,11,19
430,7,23
431,7,19
432,12,17
433,7,19
434,7,21
435,4,19
436,10,19
437,4,23
438,5,23
439,11,17
440,8,16
441,10,20
442,3,10
443,7,17
444,6,17
445,9,20
446,12,20
447,7,15
448,9,18
449,8,19
450,9,17
451,11,23
452,4,24
453,9,23
454,10,19
455,10,17
456,7,20
457,11,17
458,3,10
459,8,19
460,5,13
461,8,19
462,7,20
463,6,19
464,6,24
465,11,17
466,11,15
467,8,23
468,8,16
469,5,22
470,12,19
471,5,23
472,8,19
473,12,18
474,6,22
475,12,21
476,7,16
477,7,19
478,12,19
479,3,24
480,9,16
481,9,16
482,10,18
483,8,20
484,13,20
485,5,24
486,8,21
487,12,19
488,6,20
489,10,16
490,13,19
491,8,17
492,8,18
493,9,20
494,7,22
495,10,17
496,8,18
497,8,18
498,7,16
499,11,20
500,12,19
